"V1" "V74" "V3" "V4" "V69" "V5" "V8" "V9" "V11" "V12" "V13" "V14" "V17" "V38" "V18" "V20" "V43" "V57" "V22" "V23" "V48" "V27" "V65" "V64" "V31" "V32" "V66" "V34" "V50" "V21" "V37" "V39" "V41" "V28" "V71" "V26" "V42" "V44" "V51" "V49" "V52" "V55" "V62" "V63" "V67" "V40" "V19" "V73"
"1" 0.00789671577513218 0 0 0 0 0.0517267026007175 0 0 0.0246078576892614 0 0 0 0.147660136222839 0 0.18964995443821 0 0.00631010392680764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0400554984807968 0 0 0 0 0 0 0 0 0 0.00972874462604523 0 0
"2" 0 0 0.020876431837678 0 0 0 0 0 0 0 0.0031925062648952 0 0.0328877195715904 0.0184390097856522 0 0.0452681072056293 0 0.219658434391022 0 0.0629042983055115 0 0.117948465049267 0.00318893766961992 0 0.0150793977081776 0 0.133095264434814 0 0 0.117228575050831 0.085408516228199 0 0.0947727113962173 0 0 0.091666653752327 0 0.622494339942932 0 0 0.0421828962862492 0 0.458024173974991 0 0.0881595239043236 0.165947660803795 0.00217574718408287 0
"3" 0 0 0.0248963441699743 0 0 0 0.00229699071496725 0 0 0 0.00677323061972857 0.00108092743903399 0.0175299104303122 0.0227760337293148 0 0.0576028488576412 0.00232887594029307 0.281511425971985 0 0.090236134827137 0 0.148328468203545 0.00584338512271643 0.00107951753307134 0.0197862759232521 0 0.161242797970772 0.00208154693245888 0 0.157163769006729 0.127129182219505 0 0.115659616887569 0.00668761692941189 0 0.0974357649683952 0 0.689230918884277 0 0.00218752305954695 0.0418150089681149 0 0.506600916385651 0 0.122750774025917 0.183100879192352 0.00501004932448268 0
"4" 0 0 0.0274648331105709 0 0 0 0 0 0 0 0.00634066900238395 0.00045987730845809 0.0169127527624369 0.0252328831702471 0 0.0564722567796707 0 0.291732341051102 0 0.0845187976956367 0 0.150912389159203 0.00443490315228701 0 0.0242842882871628 0 0.170886114239693 0.00197594868950546 0 0.158585801720619 0.130883291363716 0 0.110603861510754 0.00776845682412386 0 0.0958369821310043 0 0.660124719142914 0 0 0.0381825640797615 0 0.50497841835022 0 0.120252683758736 0.180097177624702 0.00193931604735553 0
"5" 0 0 0.0240319855511189 0 0 0 0 0 0 0 0.00705302273854613 0 0.0169298555701971 0.024357920512557 0 0.0487888567149639 0.0017889611190185 0.285215795040131 0 0.083426907658577 0 0.154847785830498 0.00461149774491787 0 0.0195210259407759 0 0.168098881840706 0.00381425442174077 0.000456383975688368 0.146607100963593 0.134204521775246 0 0.107182487845421 0.0109499283134937 0 0.0965599566698074 0 0.655085444450378 0 0 0.0382373481988907 0 0.483297675848007 0 0.114567771553993 0.184165298938751 0.00292856642045081 0
"6" 0 0 0.0219511091709137 0 0 0 0 0 0 0 0.00819187238812447 0.000567800307180732 0.016909446567297 0.0237233228981495 0 0.0478515960276127 0 0.311340093612671 0 0.0799770131707191 0 0.16029354929924 0.00494694244116545 0 0.0222804676741362 0 0.168520346283913 0.000992516172118485 0 0.143165871500969 0.13486710190773 0 0.103040210902691 0.00945803336799145 0 0.0998410806059837 0 0.638527154922485 0 0.00129286176525056 0.0425836630165577 0 0.476227611303329 0 0.114414222538471 0.177526831626892 0.00523886689916253 0
"7" 0 0 0.0235863700509071 0 0 0 0 0 0 0 0.00623961025848985 0.000391938927350566 0.0204395148903131 0.0263497121632099 0 0.045270249247551 0.000196905588381924 0.302728772163391 0 0.0757141709327698 0 0.163298800587654 0.00462366081774235 0 0.024535495787859 0 0.176654636859894 0.00272440095432103 0 0.142183125019073 0.139678359031677 0 0.107177130877972 0.0101998969912529 0 0.100608319044113 0 0.629692077636719 0 0 0.0409233197569847 0 0.474082142114639 0 0.105176486074924 0.180991902947426 0.00346309808082879 0
"8" 0 0 0.0270290598273277 0 0 0 0 0 0 0 0.00465134112164378 0 0.022963022813201 0.0251826867461205 0 0.0440167523920536 0.00296444445848465 0.324091017246246 0 0.0728275328874588 0 0.168567702174187 0.00202271086163819 0 0.0219265725463629 0 0.184944152832031 0 0 0.133470773696899 0.153081074357033 0 0.106165498495102 0.00941288005560637 0 0.0962469205260277 0 0.635603308677673 0 0 0.0415832586586475 0 0.488562196493149 0 0.103528201580048 0.180674478411674 0.00452434923499823 0
"9" 0 0 0.0266337264329195 0 0 0 0 0 0 0 0.00415785005316138 0 0.0206225663423538 0.0247348509728909 0 0.0431138500571251 0.000769866979680955 0.330715209245682 0 0.0752891525626183 0 0.172395616769791 0.00439034216105938 0 0.0187650267034769 0 0.181480914354324 0.00339205586351454 0 0.14024606347084 0.156269297003746 0 0.104698270559311 0.00667739473283291 0 0.0958742871880531 0 0.61867880821228 0 0 0.0415179021656513 0 0.479032278060913 0 0.102794542908669 0.181044653058052 0.00556187191978097 0
"10" 0 0 0.0232119746506214 0 0 0 0 0 0 0 0.01114955637604 0 0.0210664384067059 0.0224553178995848 0 0.041550986468792 0.00123117852490395 0.320257991552353 0 0.0704817920923233 0 0.172374457120895 0 0 0.0248290617018938 0 0.182418182492256 0.00201518950052559 0 0.128959253430367 0.157524660229683 0 0.0964212119579315 0.00816402304917574 0 0.0977635383605957 0 0.599192023277283 0 0.00116137741133571 0.0411180332303047 0 0.451764971017838 0 0.104514844715595 0.180961325764656 0.00578291341662407 0
"11" 0 0 0.0243847481906414 0 0 0 0 0 0 0 0.0109507739543915 0 0.0192240551114082 0.0210136231034994 0 0.042163971811533 0.00199873186647892 0.345135748386383 0 0.0695604234933853 0 0.179792299866676 0 0 0.0192672926932573 0 0.195185571908951 0 0 0.111787497997284 0.165931433439255 0 0.0981263294816017 0.00845649000257254 0 0.0958738997578621 0 0.616112411022186 0 1.2862832591054e-05 0.0506034605205059 0 0.461988985538483 0 0.0983543321490288 0.17777244746685 0.00538286054506898 0
"12" 0 0 0.0213974956423044 0 0 0 0.000270645105047151 0 0 0 0.0144215486943722 0 0.0209218710660934 0.0216557290405035 0 0.0409261025488377 0.00385977956466377 0.355031818151474 0 0.0754652693867683 0 0.195572525262833 0.000889758113771677 0 0.0183105897158384 0 0.20493271946907 0.00214853789657354 0 0.117188885807991 0.171593368053436 0 0.10175584256649 0.00752932764589787 0 0.0928968191146851 0 0.63057941198349 0 0.00189579406287521 0.0618518851697445 0 0.468998998403549 0 0.0894964635372162 0.172511771321297 0.00596044771373272 0
"13" 0 0 0.028368266299367 0 0 0 0 0 0 0 0.0156618375331163 0.000945773557759821 0.0225221998989582 0.0218308977782726 0 0.0432230569422245 0.00259420089423656 0.368586391210556 0 0.0756247937679291 0 0.192611783742905 0.00225760135799646 0 0.017604049295187 0 0.206805989146233 0.000526148825883865 0 0.116228826344013 0.17035698890686 0 0.117054484784603 0.00588127924129367 0 0.0909842848777771 0 0.627080678939819 0 0.000699335942044854 0.0656068325042725 0 0.458175361156464 0 0.0868006348609924 0.171076595783234 0.00630943151190877 0
"14" 0 0 0.0273439977318048 0 0 0 0.000108243264548946 0 0 0 0.0167728308588266 0 0.0187301617115736 0.0193569250404835 0 0.0439836233854294 0.00767050683498383 0.372450590133667 0 0.0727484524250031 0 0.194190502166748 0.000494160514790565 0 0.0202600117772818 0 0.207891255617142 0.00334081682376564 0 0.119582161307335 0.183586433529854 0 0.119146049022675 0.00452683819457889 0 0.0910845175385475 0 0.632440328598022 0 0 0.0725096985697746 0 0.463149726390839 0 0.080954298377037 0.167977511882782 0.00512579130008817 0
"15" 0 0 0.0318296439945698 0 0 0 0 0 0 0 0.0193045381456614 0 0.0162163209170103 0.0218000859022141 0 0.0376292355358601 0.00575569923967123 0.384066522121429 0 0.0751432627439499 0 0.194279983639717 0.00260153785347939 0 0.0192202646285295 0 0.196768581867218 0.00412099761888385 0 0.114917114377022 0.183612152934074 0 0.118622101843357 0.0017805261304602 0 0.0868094563484192 0 0.624847710132599 0 0 0.0730362012982368 0 0.455819249153137 0 0.0781271681189537 0.169530779123306 0.00110597210004926 0
"16" 0 0 0.0286863837391138 0 0 0 0 0.00048607776989229 0 0 0.0195432417094707 0 0.0163855273276567 0.0198912546038628 0 0.0423416160047054 0.00117258785758168 0.380620747804642 0 0.0703373849391937 0 0.198027670383453 0 0 0.0187869500368834 0 0.194256231188774 0.00430308096110821 0 0.113890565931797 0.183230891823769 0 0.119071669876575 0.00569205451756716 0 0.0860379636287689 0 0.621218860149384 0 0.00158855190966278 0.0709599480032921 0 0.457875281572342 0 0.0796143114566803 0.170039236545563 0.00620114477351308 0
"17" 0 0 0.028235137462616 0 0 0 0 0 0 0 0.0210714787244797 0 0.0163122192025185 0.0198055971413851 0 0.0438916571438313 0.00286603043787181 0.392270535230637 0 0.0716644003987312 0 0.194358512759209 0 0 0.0205690171569586 0 0.188270717859268 0.00180762587115169 0 0.108854189515114 0.200412034988403 0 0.107783198356628 0.00549057219177485 0 0.0829185172915459 0 0.628863573074341 0 0 0.0713691860437393 0 0.445122718811035 0 0.0788242518901825 0.16970419883728 0.00543765304610133 0
"18" 0 0 0.0331179089844227 0 0 0 0 0 0 0 0.0223852228373289 0 0.0170503482222557 0.0177652630954981 0 0.0426674894988537 0 0.379404693841934 0 0.0676745697855949 0 0.194071903824806 0.00156289513688534 0 0.0182548500597477 0 0.185175970196724 0.00329383881762624 0 0.106210246682167 0.198187798261642 0 0.111288659274578 0.00150198035407811 0 0.0797782838344574 0 0.609767436981201 0 0.000894218275789171 0.0699749514460564 0 0.441022515296936 0 0.0808395519852638 0.170040592551231 0.00702464068308473 0
"19" 0 0 0.0312883891165257 0 0 0 0 0 0 0 0.0233237184584141 0 0.0124424956738949 0.0175551418215036 0 0.0405936799943447 0 0.392156064510345 0 0.0682784840464592 0 0.178013890981674 0 0 0.0184941198676825 0 0.182223990559578 0.00230824528262019 0 0.107593685388565 0.20436355471611 0 0.10067006200552 0.00448487745597959 0 0.0833237618207932 0 0.594991028308868 0 0 0.0668981075286865 0 0.432366073131561 0 0.082244336605072 0.170792356133461 0.00784746930003166 0
"20" 0 0 0.0293619856238365 0 0 0 0 0.000613328593317419 0 0 0.0277113858610392 0 0.0120327761396766 0.0225808806717396 0 0.0419420748949051 0 0.405206918716431 0 0.0662202164530754 0 0.180088758468628 0.00100525992456824 0 0.0184751283377409 0 0.189228564500809 0.0024424244184047 0 0.103682413697243 0.215287998318672 0 0.102432645857334 0.00428135972470045 0 0.0794734358787537 0 0.603218495845795 0 0.000933765317313373 0.0736249014735222 0 0.430462151765823 0 0.0758936256170273 0.176987126469612 0.00336992344819009 0
"21" 0 0 0.0318417623639107 0 0 0 0 0.00134997582063079 0 0 0.0268537923693657 0 0.0104843908920884 0.0213989615440369 0 0.0394727438688278 0 0.409542560577393 0 0.0669662728905678 0 0.187129959464073 0 0 0.0183036532253027 0 0.186367884278297 0.00243156822398305 0 0.109306991100311 0.215979024767876 0 0.106109045445919 0.00141305767465383 0 0.0834503546357155 0 0.594047427177429 0 0.00089128507534042 0.0709099397063255 0 0.432805716991425 0 0.072892501950264 0.173333078622818 0.00771663011983037 0
"22" 0 0 0.0319621041417122 0 0 0 0 0.00120697403326631 0 0 0.0265742987394333 0 0.0090246144682169 0.0162454508244991 0 0.0418763421475887 0 0.413011252880096 0 0.0628150925040245 0 0.177553623914719 0 0 0.0172395426779985 0 0.17683257162571 0.00500235706567764 0 0.10513449460268 0.218827068805695 0 0.106592394411564 0.00240020523779094 0 0.0816355049610138 0 0.605910837650299 0 0.00195668684318662 0.0750451385974884 0 0.431992799043655 0 0.0735592916607857 0.171748772263527 0.007464072201401 0
